,name,handedness,height,weight,avg,HR,H/W
2,Denny Lemaster,R,73,182,0.13,4,0.40 
3,Joe Nolan,L,71,175,0.263,27,0.41 
4,Denny Doyle,L,69,175,0.25,16,0.39 
5,Jose Cardenal,R,70,150,0.275,138,0.47 
6,Mike Ryan,R,74,205,0.193,28,0.36 
7,Fritz Peterson,B,72,185,0.159,2,0.39 
8,Dick Bertell,R,72,200,0.25,10,0.36 
9,Rod Kanehl,R,73,180,0.241,6,0.41 
13,Juan Bonilla,R,69,170,0.256,7,0.41 
14,Frank Tepedino,L,71,185,0.241,6,0.38 
16,Rick Wise,R,73,180,0.195,15,0.41 
17,Darrell Evans,L,74,200,0.248,414,0.37 
18,Buck Martinez,R,70,190,0.225,58,0.37 
19,John Wockenfuss,R,72,190,0.262,86,0.38 
20,Tommy McCraw,L,72,183,0.246,75,0.39 
24,Lee Lacy,R,73,175,0.286,91,0.42 
25,Pete Rose,B,71,192,0.303,160,0.37 
26,Danny Walton,R,72,195,0.223,28,0.37 
27,Bobby Cox,R,71,180,0.225,9,0.39 
28,Brad Wellman,R,72,170,0.231,6,0.42 
29,Jeff Newman,R,74,215,0.224,63,0.34 
30,Pedro Gonzalez,R,72,176,0.244,8,0.41 
32,Tommie Reynolds,R,74,190,0.226,12,0.39 
33,Gene Clines,R,69,170,0.277,5,0.41 
34,Jim Hickman,R,75,192,0.252,159,0.39 
36,Jerry Buchek,R,71,185,0.22,22,0.38 
37,Ivan DeJesus,R,71,175,0.254,21,0.41 
38,Gary Nolan,R,74,197,0.138,1,0.38 
40,Fred Whitfield,L,73,190,0.253,108,0.38 
41,Larry Dierker,R,76,215,0.136,4,0.35 
42,Dave Skaggs,R,74,200,0.241,3,0.37 
43,Dick Ruthven,R,75,190,0.183,1,0.39 
46,Dave Kingman,R,78,210,0.236,442,0.37 
47,Eric Soderholm,R,71,187,0.264,102,0.38 
49,Ed Brinkman,R,72,170,0.224,60,0.42 
50,Wayne Garrett,L,71,175,0.239,61,0.41 
51,Tony Muser,L,74,180,0.259,7,0.41 
54,Ted Ford,R,70,180,0.219,17,0.39 
56,Jim Lyttle,L,72,180,0.248,9,0.40 
59,Scot Thompson,L,75,195,0.262,5,0.38 
60,Gene Locklear,L,70,165,0.274,9,0.42 
61,Bo Diaz,R,71,185,0.255,87,0.38 
62,Bump Wills,B,69,172,0.266,36,0.40 
64,Pat Putnam,L,72,205,0.255,63,0.35 
65,Kurt Bevacqua,R,72,180,0.236,27,0.40 
67,Syd O'Brien,R,73,185,0.23,24,0.39 
68,Chris Chambliss,L,73,195,0.279,185,0.37 
69,Tom Satriano,L,73,185,0.225,21,0.39 
70,Jeffrey Leonard,R,74,200,0.266,144,0.37 
71,Dal Maxvill,R,71,157,0.217,6,0.45 
73,Cesar Tovar,R,69,155,0.278,46,0.45 
76,Jack Heidemann,R,72,175,0.211,9,0.41 
77,Rich Rollins,R,70,185,0.269,77,0.38 
78,Walt Bond,L,79,228,0.256,41,0.35 
79,Merv Rettenmund,R,70,190,0.271,66,0.37 
81,Byron Browne,R,74,190,0.236,30,0.39 
82,Hector Torres,R,72,175,0.216,18,0.41 
83,Walt Williams,R,66,165,0.27,33,0.40 
84,Jerry Koosman,R,74,205,0.119,2,0.36 
85,Steve Lombardozzi,R,72,175,0.233,20,0.41 
86,Joe Azcue,R,72,190,0.252,50,0.38 
87,Elliott Maddox,R,71,180,0.261,18,0.39 
88,Omar Moreno,L,74,180,0.252,37,0.41 
89,Julian Javier,R,73,175,0.257,78,0.42 
91,Elio Chacon,R,69,160,0.232,4,0.43 
92,Rusty Torres,B,70,175,0.212,35,0.40 
93,John Stearns,R,72,185,0.26,46,0.39 
94,Larry Brown,R,70,160,0.233,47,0.44 
95,Tommy Dean,R,72,165,0.18,4,0.44 
99,Bruce Boisclair,L,74,185,0.263,10,0.40 
100,Ken Singleton,B,76,210,0.282,246,0.36 
101,Frank White,R,71,165,0.255,160,0.43 
102,Jim Fairey,L,70,190,0.235,7,0.37 
104,Tom Brookens,R,70,165,0.246,71,0.42 
105,Gary Thomasson,L,73,180,0.249,61,0.41 
109,Otto Velez,R,72,170,0.251,78,0.42 
110,Tony Scott,B,72,164,0.249,17,0.44 
111,Ray Oyler,R,71,165,0.175,15,0.43 
113,Floyd Robinson,L,69,175,0.283,67,0.39 
114,Steve Jeltz,B,71,180,0.21,5,0.39 
115,Lou Brock,L,71,170,0.293,149,0.42 
117,Joe Lovitto,B,72,185,0.216,4,0.39 
119,Wayne Comer,R,70,175,0.229,16,0.40 
120,Dave Collins,B,71,175,0.272,32,0.41 
121,Ed Spiezio,R,71,180,0.238,39,0.39 
122,Rico Petrocelli,R,72,175,0.251,210,0.41 
123,Johnny Lewis,L,73,189,0.227,22,0.39 
124,Dick Simpson,R,76,176,0.207,15,0.43 
125,Ken Boswell,L,72,170,0.248,31,0.42 
